bird_y,top_pipe_y,bottom_pipe_y,pipe_x,distance_to_pipe,gap_center,gap_size,action
294.99999999999994,225.0,375.0,120.0,70.0,300.0,150.0,0
294.79999999999995,225.0,375.0,115.0,65.0,300.0,150.0,0
294.99999999999994,225.0,375.0,110.0,60.0,300.0,150.0,0
295.59999999999997,225.0,375.0,105.0,55.0,300.0,150.0,0
296.59999999999997,225.0,375.0,100.0,50.0,300.0,150.0,0
297.99999999999994,225.0,375.0,95.0,45.0,300.0,150.0,0
299.79999999999995,225.0,375.0,90.0,40.0,300.0,150.0,0
301.99999999999994,225.0,375.0,85.0,35.0,300.0,150.0,0
304.59999999999997,225.0,375.0,80.0,30.0,300.0,150.0,0
307.59999999999997,225.0,375.0,75.0,25.0,300.0,150.0,0
310.99999999999994,225.0,375.0,70.0,20.0,300.0,150.0,0
314.79999999999995,225.0,375.0,65.0,15.0,300.0,150.0,0
318.99999999999994,225.0,375.0,60.0,10.0,300.0,150.0,0
323.59999999999997,225.0,375.0,55.0,5.0,300.0,150.0,0
316.99999999999994,225.0,375.0,50.0,0.0,300.0,150.0,1
310.79999999999995,225.0,375.0,45.0,-5.0,300.0,150.0,0
304.99999999999994,225.0,375.0,40.0,-10.0,300.0,150.0,0
299.59999999999997,225.0,375.0,35.0,-15.0,300.0,150.0,0
294.59999999999997,225.0,375.0,30.0,-20.0,300.0,150.0,0
289.99999999999994,225.0,375.0,25.0,-25.0,300.0,150.0,0
285.79999999999995,225.0,375.0,20.0,-30.0,300.0,150.0,0
281.99999999999994,225.0,375.0,15.0,-35.0,300.0,150.0,0
278.59999999999997,225.0,375.0,10.0,-40.0,300.0,150.0,0
275.59999999999997,225.0,375.0,5.0,-45.0,300.0,150.0,0
272.99999999999994,225.0,375.0,0.0,-50.0,300.0,150.0,0
270.79999999999995,225.0,375.0,-5.0,-55.0,300.0,150.0,0
268.99999999999994,225.0,375.0,-10.0,-60.0,300.0,150.0,0
267.59999999999997,225.0,375.0,-15.0,-65.0,300.0,150.0,0
266.59999999999997,225.0,375.0,-20.0,-70.0,300.0,150.0,0
265.99999999999994,225.0,375.0,-25.0,-75.0,300.0,150.0,0
265.79999999999995,225.0,375.0,-30.0,-80.0,300.0,150.0,0
265.99999999999994,225.0,375.0,-35.0,-85.0,300.0,150.0,0
266.59999999999997,225.0,375.0,-40.0,-90.0,300.0,150.0,0
267.59999999999997,225.0,375.0,-45.0,-95.0,300.0,150.0,0
268.99999999999994,225.0,375.0,-50.0,-100.0,300.0,150.0,0
270.79999999999995,225.0,375.0,-55.0,-105.0,300.0,150.0,0
272.99999999999994,225.0,375.0,-60.0,-110.0,300.0,150.0,0
275.59999999999997,345.0,495.0,400.0,350.0,420.0,150.0,0
278.59999999999997,345.0,495.0,395.0,345.0,420.0,150.0,0
281.99999999999994,345.0,495.0,390.0,340.0,420.0,150.0,0
285.79999999999995,345.0,495.0,385.0,335.0,420.0,150.0,0
289.99999999999994,345.0,495.0,380.0,330.0,420.0,150.0,0
294.59999999999997,345.0,495.0,375.0,325.0,420.0,150.0,0
299.59999999999997,345.0,495.0,370.0,320.0,420.0,150.0,0
304.99999999999994,345.0,495.0,365.0,315.0,420.0,150.0,0
310.79999999999995,345.0,495.0,360.0,310.0,420.0,150.0,0
316.99999999999994,345.0,495.0,355.0,305.0,420.0,150.0,0
323.59999999999997,345.0,495.0,350.0,300.0,420.0,150.0,0
330.59999999999997,345.0,495.0,345.0,295.0,420.0,150.0,0
337.99999999999994,345.0,495.0,340.0,290.0,420.0,150.0,0
345.79999999999995,345.0,495.0,335.0,285.0,420.0,150.0,0
353.99999999999994,345.0,495.0,330.0,280.0,420.0,150.0,0
362.59999999999997,345.0,495.0,325.0,275.0,420.0,150.0,0
355.99999999999994,345.0,495.0,320.0,270.0,420.0,150.0,1
349.79999999999995,345.0,495.0,315.0,265.0,420.0,150.0,0
343.99999999999994,345.0,495.0,310.0,260.0,420.0,150.0,0
338.59999999999997,345.0,495.0,305.0,255.0,420.0,150.0,0
333.59999999999997,345.0,495.0,300.0,250.0,420.0,150.0,0
328.99999999999994,345.0,495.0,295.0,245.0,420.0,150.0,0
324.79999999999995,345.0,495.0,290.0,240.0,420.0,150.0,0
320.99999999999994,345.0,495.0,285.0,235.0,420.0,150.0,0
317.59999999999997,345.0,495.0,280.0,230.0,420.0,150.0,0
314.59999999999997,345.0,495.0,275.0,225.0,420.0,150.0,0
311.99999999999994,345.0,495.0,270.0,220.0,420.0,150.0,0
309.79999999999995,345.0,495.0,265.0,215.0,420.0,150.0,0
307.99999999999994,345.0,495.0,260.0,210.0,420.0,150.0,0
306.59999999999997,345.0,495.0,255.0,205.0,420.0,150.0,0
305.59999999999997,345.0,495.0,250.0,200.0,420.0,150.0,0
304.99999999999994,345.0,495.0,245.0,195.0,420.0,150.0,0
304.79999999999995,345.0,495.0,240.0,190.0,420.0,150.0,0
304.99999999999994,345.0,495.0,235.0,185.0,420.0,150.0,0
305.59999999999997,345.0,495.0,230.0,180.0,420.0,150.0,0
306.59999999999997,345.0,495.0,225.0,175.0,420.0,150.0,0
307.99999999999994,345.0,495.0,220.0,170.0,420.0,150.0,0
309.79999999999995,345.0,495.0,215.0,165.0,420.0,150.0,0
311.99999999999994,345.0,495.0,210.0,160.0,420.0,150.0,0
314.59999999999997,345.0,495.0,205.0,155.0,420.0,150.0,0
317.59999999999997,345.0,495.0,200.0,150.0,420.0,150.0,0
320.99999999999994,345.0,495.0,195.0,145.0,420.0,150.0,0
324.79999999999995,345.0,495.0,190.0,140.0,420.0,150.0,0
328.99999999999994,345.0,495.0,185.0,135.0,420.0,150.0,0
333.59999999999997,345.0,495.0,180.0,130.0,420.0,150.0,0
338.59999999999997,345.0,495.0,175.0,125.0,420.0,150.0,0
343.99999999999994,345.0,495.0,170.0,120.0,420.0,150.0,0
349.79999999999995,345.0,495.0,165.0,115.0,420.0,150.0,0
355.99999999999994,345.0,495.0,160.0,110.0,420.0,150.0,0
362.59999999999997,345.0,495.0,155.0,105.0,420.0,150.0,0
369.59999999999997,345.0,495.0,150.0,100.0,420.0,150.0,0
376.99999999999994,345.0,495.0,145.0,95.0,420.0,150.0,0
384.79999999999995,345.0,495.0,140.0,90.0,420.0,150.0,0
392.99999999999994,345.0,495.0,135.0,85.0,420.0,150.0,0
401.59999999999997,345.0,495.0,130.0,80.0,420.0,150.0,0
410.59999999999997,345.0,495.0,125.0,75.0,420.0,150.0,0
420.0,345.0,495.0,120.0,70.0,420.0,150.0,0
429.8,345.0,495.0,115.0,65.0,420.0,150.0,0
440.0,345.0,495.0,110.0,60.0,420.0,150.0,0
450.6,345.0,495.0,105.0,55.0,420.0,150.0,0
461.6,345.0,495.0,100.0,50.0,420.0,150.0,0
455.0,345.0,495.0,95.0,45.0,420.0,150.0,1
448.8,345.0,495.0,90.0,40.0,420.0,150.0,0
443.0,345.0,495.0,85.0,35.0,420.0,150.0,0
437.6,345.0,495.0,80.0,30.0,420.0,150.0,0
432.6,345.0,495.0,75.0,25.0,420.0,150.0,0
428.0,345.0,495.0,70.0,20.0,420.0,150.0,0
423.8,345.0,495.0,65.0,15.0,420.0,150.0,0
420.0,345.0,495.0,60.0,10.0,420.0,150.0,0
416.6,345.0,495.0,55.0,5.0,420.0,150.0,0
413.6,345.0,495.0,50.0,0.0,420.0,150.0,0
411.0,345.0,495.0,45.0,-5.0,420.0,150.0,0
408.8,345.0,495.0,40.0,-10.0,420.0,150.0,0
407.0,345.0,495.0,35.0,-15.0,420.0,150.0,0
405.6,345.0,495.0,30.0,-20.0,420.0,150.0,0
404.6,345.0,495.0,25.0,-25.0,420.0,150.0,0
404.0,345.0,495.0,20.0,-30.0,420.0,150.0,0
403.8,345.0,495.0,15.0,-35.0,420.0,150.0,0
404.0,345.0,495.0,10.0,-40.0,420.0,150.0,0
404.6,345.0,495.0,5.0,-45.0,420.0,150.0,0
405.6,345.0,495.0,0.0,-50.0,420.0,150.0,0
407.0,345.0,495.0,-5.0,-55.0,420.0,150.0,0
408.8,345.0,495.0,-10.0,-60.0,420.0,150.0,0
411.0,345.0,495.0,-15.0,-65.0,420.0,150.0,0
413.6,345.0,495.0,-20.0,-70.0,420.0,150.0,0
416.6,345.0,495.0,-25.0,-75.0,420.0,150.0,0
420.0,345.0,495.0,-30.0,-80.0,420.0,150.0,0
423.8,345.0,495.0,-35.0,-85.0,420.0,150.0,0
