bird_y,top_pipe_y,bottom_pipe_y,pipe_x,action
252.00000000000006,137,287,216,0
248.20000000000005,137,287,212,0
244.80000000000004,137,287,208,0
241.80000000000004,137,287,204,0
239.20000000000005,137,287,200,0
237.00000000000006,137,287,196,0
235.20000000000005,137,287,192,0
233.80000000000004,137,287,188,0
232.80000000000004,137,287,184,0
232.20000000000005,137,287,180,0
232.00000000000006,137,287,176,0
232.20000000000005,137,287,172,0
232.80000000000004,137,287,168,0
233.80000000000004,137,287,164,0
235.20000000000005,137,287,160,0
237.00000000000006,137,287,156,0
239.20000000000005,137,287,152,0
241.80000000000004,137,287,148,0
244.80000000000004,137,287,144,0
248.20000000000005,137,287,140,0
252.00000000000006,137,287,136,0
256.20000000000005,137,287,132,0
249.60000000000005,137,287,128,1
243.40000000000006,137,287,124,0
237.60000000000005,137,287,120,0
232.20000000000005,137,287,116,0
227.20000000000005,137,287,112,0
222.60000000000005,137,287,108,0
218.40000000000006,137,287,104,0
214.60000000000005,137,287,100,0
211.20000000000005,137,287,96,0
208.20000000000005,137,287,92,0
205.60000000000005,137,287,88,0
203.40000000000006,137,287,84,0
201.60000000000005,137,287,80,0
200.20000000000005,137,287,76,0
199.20000000000005,137,287,72,0
198.60000000000005,137,287,68,0
198.40000000000006,137,287,64,0
198.60000000000005,137,287,60,0
199.20000000000005,137,287,56,0
200.20000000000005,137,287,52,0
201.60000000000005,137,287,48,0
203.40000000000006,137,287,44,0
205.60000000000005,137,287,40,0
199.00000000000006,137,287,36,1
192.80000000000007,137,287,32,0
187.00000000000006,137,287,28,0
181.60000000000005,137,287,24,0
176.60000000000005,137,287,20,0
172.00000000000006,137,287,16,0
167.80000000000007,137,287,12,0
164.00000000000006,137,287,8,0
160.60000000000005,137,287,4,0
157.60000000000005,137,287,0,0
155.00000000000006,137,287,-4,0
152.80000000000007,137,287,-8,0
151.00000000000006,137,287,-12,0
149.60000000000005,137,287,-16,0
148.60000000000005,137,287,-20,0
148.00000000000006,137,287,-24,0
147.80000000000007,137,287,-28,0
148.00000000000006,137,287,-32,0
148.60000000000005,137,287,-36,0
149.60000000000005,137,287,-40,0
151.00000000000006,137,287,-44,0
152.80000000000007,137,287,-48,0
155.00000000000006,137,287,-52,0
157.60000000000005,137,287,-56,0
160.60000000000005,137,287,-60,0
164.00000000000006,282,432,400,0
167.80000000000007,282,432,396,0
172.00000000000006,282,432,392,0
176.60000000000005,282,432,388,0
181.60000000000005,282,432,384,0
187.00000000000006,282,432,380,0
192.80000000000007,282,432,376,0
199.00000000000009,282,432,372,0
205.60000000000008,282,432,368,0
212.60000000000008,282,432,364,0
220.00000000000009,282,432,360,0
227.8000000000001,282,432,356,0
236.0000000000001,282,432,352,0
244.6000000000001,282,432,348,0
253.6000000000001,282,432,344,0
263.0000000000001,282,432,340,0
272.8000000000001,282,432,336,0
283.0000000000001,282,432,332,0
293.60000000000014,282,432,328,0
304.60000000000014,282,432,324,0
316.00000000000017,282,432,320,0
327.8000000000002,282,432,316,0
340.00000000000017,282,432,312,0
352.6000000000002,282,432,308,0
365.6000000000002,282,432,304,0
379.0000000000002,282,432,300,0
392.80000000000024,282,432,296,0
407.0000000000002,282,432,292,0
421.60000000000025,282,432,288,0
436.60000000000025,282,432,284,0
430.0000000000002,282,432,280,1
423.80000000000024,282,432,276,0
418.0000000000002,282,432,272,0
412.60000000000025,282,432,268,0
407.60000000000025,282,432,264,0
403.0000000000002,282,432,260,0
398.80000000000024,282,432,256,0
395.0000000000002,282,432,252,0
391.60000000000025,282,432,248,0
388.60000000000025,282,432,244,0
386.0000000000002,282,432,240,0
383.80000000000024,282,432,236,0
382.0000000000002,282,432,232,0
380.60000000000025,282,432,228,0
379.60000000000025,282,432,224,0
379.0000000000002,282,432,220,0
378.80000000000024,282,432,216,0
379.0000000000002,282,432,212,0
379.60000000000025,282,432,208,0
380.60000000000025,282,432,204,0
382.0000000000002,282,432,200,0
383.80000000000024,282,432,196,0
386.0000000000002,282,432,192,0
388.60000000000025,282,432,188,0
391.60000000000025,282,432,184,0
395.0000000000002,282,432,180,0
398.80000000000024,282,432,176,0
392.2000000000002,282,432,172,1
386.0000000000002,282,432,168,0
380.2000000000002,282,432,164,0
374.80000000000024,282,432,160,0
369.80000000000024,282,432,156,0
365.2000000000002,282,432,152,0
361.0000000000002,282,432,148,0
357.2000000000002,282,432,144,0
353.80000000000024,282,432,140,0
350.80000000000024,282,432,136,0
348.2000000000002,282,432,132,0
346.0000000000002,282,432,128,0
344.2000000000002,282,432,124,0
342.80000000000024,282,432,120,0
341.80000000000024,282,432,116,0
341.2000000000002,282,432,112,0
341.0000000000002,282,432,108,0
341.2000000000002,282,432,104,0
341.80000000000024,282,432,100,0
342.80000000000024,282,432,96,0
344.2000000000002,282,432,92,0
346.0000000000002,282,432,88,0
348.2000000000002,282,432,84,0
350.80000000000024,282,432,80,0
353.80000000000024,282,432,76,0
357.2000000000002,282,432,72,0
361.0000000000002,282,432,68,0
365.2000000000002,282,432,64,0
369.80000000000024,282,432,60,0
374.80000000000024,282,432,56,0
380.2000000000002,282,432,52,0
373.6000000000002,282,432,48,1
367.4000000000002,282,432,44,0
361.6000000000002,282,432,40,0
356.2000000000002,282,432,36,0
351.2000000000002,282,432,32,0
346.6000000000002,282,432,28,0
342.4000000000002,282,432,24,0
338.6000000000002,282,432,20,0
335.2000000000002,282,432,16,0
332.2000000000002,282,432,12,0
329.6000000000002,282,432,8,0
327.4000000000002,282,432,4,0
325.6000000000002,282,432,0,0
324.2000000000002,282,432,-4,0
323.2000000000002,282,432,-8,0
322.6000000000002,282,432,-12,0
322.4000000000002,282,432,-16,0
322.6000000000002,282,432,-20,0
323.2000000000002,282,432,-24,0
324.2000000000002,282,432,-28,0
325.6000000000002,282,432,-32,0
327.4000000000002,282,432,-36,0
329.6000000000002,282,432,-40,0
332.2000000000002,282,432,-44,0
335.2000000000002,282,432,-48,0
338.6000000000002,282,432,-52,0
342.4000000000002,282,432,-56,0
346.6000000000002,282,432,-60,0
351.2000000000002,119,269,400,0
356.2000000000002,119,269,396,0
361.6000000000002,119,269,392,0
367.4000000000002,119,269,388,0
373.6000000000002,119,269,384,0
380.2000000000002,119,269,380,0
387.2000000000002,119,269,376,0
394.6000000000002,119,269,372,0
402.4000000000002,119,269,368,0
410.6000000000002,119,269,364,0
419.2000000000002,119,269,360,0
428.2000000000002,119,269,356,0
437.60000000000025,119,269,352,0
447.40000000000026,119,269,348,0
440.80000000000024,119,269,344,1
434.60000000000025,119,269,340,0
428.80000000000024,119,269,336,0
423.40000000000026,119,269,332,0
418.40000000000026,119,269,328,0
413.80000000000024,119,269,324,0
409.60000000000025,119,269,320,0
405.80000000000024,119,269,316,0
402.40000000000026,119,269,312,0
399.40000000000026,119,269,308,0
396.80000000000024,119,269,304,0
394.60000000000025,119,269,300,0
392.80000000000024,119,269,296,0
391.40000000000026,119,269,292,0
390.40000000000026,119,269,288,0
389.80000000000024,119,269,284,0
383.2000000000002,119,269,280,1
377.0000000000002,119,269,276,0
371.2000000000002,119,269,272,0
365.80000000000024,119,269,268,0
360.80000000000024,119,269,264,0
356.2000000000002,119,269,260,0
352.0000000000002,119,269,256,0
348.2000000000002,119,269,252,0
341.6000000000002,119,269,248,1
335.4000000000002,119,269,244,0
329.6000000000002,119,269,240,0
